Key,EN,Notes,JP
,,,
roulette_main,Come and challenge the chessboard I have lain out for you!,,私のチェス盤をひっくり返せますか？さ、挑んで来なさい！
roulette_main_notutorial,"To challenge me without even reading the rules... that's more ""unprepared"" than ""determined"". ",,ルールを読まずに挑むなんて。。。貴様、根性ありすぎますよ。
roulette_extra,How about it? Would you like to participate in a small side show?,,どうですか？余興に参加しませんか？
roulette_bossprac,"I don't enjoy dwelling on the past, but if you wish to defeat me, exhaust every option!",,過去にこだわるのは私の好みではありませんが、貴様が私に勝てたければ、手を尽くしなさい！
roulette_stageprac,"I don't enjoy dwelling on the past, but if you wish to defeat me, exhaust every option!",,過去にこだわるのは私の好みではありませんが、貴様が私に勝てたければ、手を尽くしなさい！
roulette_tutorial,The rules are a bit different this time around. Take a minute to learn them.,,この度はルールを変えさせて貰いました。ルールの説明はこちらへ。
roulette_expraclocked,Don't get ahead of yourself. Play the main game once first.,,貴様、焦りすぎ。まずは本番をやりなさい。
,,,
difficulty_custom,"If you don't like the rules, change them!",,ルールが嗜好に合ってません？なら、ルールを変えたらどう？
difficulty_easy,"The tallest trees were once but saplings. That holds true for me, the strongest of youkai, as well.",,高い木も昔はただの種。最強の妖怪の私もそうです。
difficulty_normal,"A sense of danger without risk. Thus is an ""incident"".",,危険のない危機感。それこそが異変。
difficulty_hard,One learns to stand straight under a waterfall's force.,,人は滝の中で立って背筋を伸ばせるようになる。
difficulty_lunatic,Kasen told me to go easy for the rest of the games... but not this one.,,他のゲームで華扇先生に手加減させられても、このゲームは本気で行きますわよ。
