Key,EN,Notes,JP
aya.ambition,Tengu's Ambition: Mountaintop From Where One Grasps the Sky,,天狗の野心「天を捕まえる山嶺」
aya.rule,Tengu's Rule: Long-Toothed Wings Wrapped Round the Firmament,,天狗の統治「天空を包む歯の長い翼」
,,,
kasen.platinum,Platinum Elysium: Dancing in the Shadow of the Heavens,,プラチナのエリジウム・天の影での踊り
kasen.500,Five Hundred Years under the Five-Finger Mountain,,五指山の下に埋めた五百年
kasen.cudgel,Golden Cudgel Hidden Behind the Ear,,耳に隠した如意金箍棒
kasen.flower,Flowering Seal: Rooted in the Earth and Reaching for the Skies,,華封「根は土に、手は空へ」
kasen.stonecradle,Stone Cradle: Standing Alone on the Mountaintop,,石の揺り籠「一人で山上に立つもの」
,,,
kaguyaf.sleep,Indolence: Sleeping Through Midday,,懶惰「午後までの寝坊」
kaguyaf.remote,Lunar Eyes: Television Remote,,月眼「月兎遠隔操作術（テレビリモコン）」
kaguyaf.zawarudo,Crazy Red Eyes: The World Before the Cosmos,,狂視「広がる宇宙（ザワールド）」
kaguyaf.lunarvision,Lunar Vision: Through the Dusk and Dawn,,月視「夕暮れを超すもの」
kaguyaf.expiation,Expiation: Visible Full Moon,,滅罪「不実の月（ビジブルフルムーン）」
,,,
yukari.rabenflug,Rabenflug: Flight-Path of the Crow Intoxicated on Lunar Wine,,烏飛「月の酒に酔った烏の狂い飛び」
yukari.skyburial,Hunter's Dream: Sky Burial,,狩人の夢「鳥葬」
,,,
eraa.gc,Memory Leak: Unsatiated Wrath of the Garbage Collector,,メモリリーク「ガベージコレクタの収まらない怒り」
eraa.ip,Self-Recreation: Rewriting One Step Ahead of the Instruction Pointer,,自改「命令ポインタの一歩先を上書き」
,,,
seija.onion,Irrefutable Falsehood: syn-Propanethial S-oxide,,無反駁の虚偽「催涙因子合成酵素」
seija.rice,Darker than a Moonless Night: A Grain of Rice for a Wall of Sand,,無月よりも暗い「米一粒に砂の壁」
seija.100,Memory of Pugachev: Hyaku Shou Ik-Ki,,百姓一揆「プガチョフの記憶」
seija.circular,Fallacy: Circular Reasoning,,虚偽「循環論法」
seija.pareto,Disproven Truth: A Pareto-Optimal Nonspell,,覆された真実「パレート最適のスペルカード」
seija.potato,Army Gazing Across the Channel: Feast of Undercooked Potatoes,,生芋宴会「海峡を見渡す軍隊」
seija.consequent,Fallacy: Affirming the Consequent,,虚偽「後件肯定」
,,,
